date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:24:18	16784/16784	---M-Z	200	added ('OK')	text/html	etag:%224190-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/index.html	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/index.html	(from )
02:24:19	279/279	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202024%2007:24:18%20GMT	https://mannatthemes.com/robots.txt		(from )
02:24:20	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/filter/magnific-popup.css	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/filter/magnific-popup.css	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:20	112899/112899	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221b903-5c02446b63f88%22	https://mannatthemes.com/zoovara/vertical/images/favicon.ico	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/images/favicon.ico	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:20	27122/27122	---M-Z	200	added ('OK')	text/css	etag:%2269f2-5c02446b64f28-gzip%22	https://mannatthemes.com/zoovara/vertical/plugins/animated/headline.css	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/plugins/animated/headline.css	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:21	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-5c02446b610a7-gzip%22	https://mannatthemes.com/zoovara/vertical/css/bootstrap.min.css	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/css/bootstrap.min.css	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:21	43535/43535	---M-Z	200	added ('OK')	text/css	etag:%22aa0f-5c02446b610a7-gzip%22	https://mannatthemes.com/zoovara/vertical/css/icons.css	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/css/icons.css	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:21	27807/27807	---M-Z	200	added ('OK')	text/css	etag:%226c9f-5c02446b610a7-gzip%22	https://mannatthemes.com/zoovara/vertical/css/style.css	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/css/style.css	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:21	7463/7463	---M--	200	added ('OK')	image/jpeg	etag:%221d27-5c02446b64f28%22	https://mannatthemes.com/zoovara/vertical/images/users/user-4.jpg	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/images/users/user-4.jpg	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:22	6785/6785	---M--	200	added ('OK')	image/jpeg	etag:%221a81-5c02446b63f88%22	https://mannatthemes.com/zoovara/vertical/images/users/user-10.jpg	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/images/users/user-10.jpg	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:22	5249/5249	---M--	200	added ('OK')	image/jpeg	etag:%221481-5c02446b64f28%22	https://mannatthemes.com/zoovara/vertical/images/users/user-5.jpg	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/images/users/user-5.jpg	(from https://mannatthemes.com/zoovara/vertical/index.html)
02:24:22	5024/5024	---M--	200	added ('OK')	image/jpeg	etag:%2213a0-5c02446b63f88%22	https://mannatthemes.com/zoovara/vertical/images/portfolio/1.jpg	D:/New%20folder/owo/mannatthemes.com/zoovara/vertical/images/portfolio/1.jpg	(from https://mannatthemes.com/zoovara/vertical/index.html)
